classname,parent,declared_model,resolved_model,source_file
Land_Mil_GuardBox_Brown,HouseNoDestruct,\DZ\structures_bliss\Military\Houses\Mil_GuardBox_Brown.p3d,\DZ\structures_bliss\Military\Houses\Mil_GuardBox_Brown.p3d,P:\DZ\structures_bliss\military\config.cpp
Land_Mil_GuardBox_Green,HouseNoDestruct,\DZ\structures_bliss\Military\Houses\Mil_GuardBox_Green.p3d,\DZ\structures_bliss\Military\Houses\Mil_GuardBox_Green.p3d,P:\DZ\structures_bliss\military\config.cpp
Land_Mil_GuardBox_Smooth,HouseNoDestruct,\DZ\structures_bliss\Military\Houses\Mil_GuardBox_Smooth.p3d,\DZ\structures_bliss\Military\Houses\Mil_GuardBox_Smooth.p3d,P:\DZ\structures_bliss\military\config.cpp
Land_Mil_Guardhouse1,HouseNoDestruct,\dz\structures\military\houses\Mil_Guardhouse1.p3d,\dz\structures\military\houses\Mil_Guardhouse1.p3d,P:\DZ\structures\military\config.cpp
Land_Mil_Guardhouse2,HouseNoDestruct,\dz\structures\military\houses\Mil_GuardHouse2.p3d,\dz\structures\military\houses\Mil_GuardHouse2.p3d,P:\DZ\structures\military\config.cpp
Land_Mil_GuardHouse3,HouseNoDestruct,\DZ\structures_bliss\Military\Houses\Mil_GuardHouse3.p3d,\DZ\structures_bliss\Military\Houses\Mil_GuardHouse3.p3d,P:\DZ\structures_bliss\military\config.cpp
Land_Mil_GuardShed,HouseNoDestruct,dz\structures\military\improvised\Mil_GuardShed,dz\structures\military\improvised\Mil_GuardShed,P:\DZ\structures\military\config.cpp
Land_Mil_GuardTower,HouseNoDestruct,\dz\structures\military\houses\mil_guardtower.p3d,\dz\structures\military\houses\mil_guardtower.p3d,P:\DZ\structures\military\config.cpp
Land_Mil_Radar_Mobile1,HouseNoDestruct,\dz\structures\Military\airfield\Mil_Radar_Mobile1.p3d,\dz\structures\Military\airfield\Mil_Radar_Mobile1.p3d,P:\DZ\structures\military\config.cpp
Land_Mil_Radar_Mobile2,HouseNoDestruct,\dz\structures\military\airfield\Mil_Radar_Mobile2.p3d,\dz\structures\military\airfield\Mil_Radar_Mobile2.p3d,P:\DZ\structures\military\config.cpp
Land_Mil_Radar_Mobile3,HouseNoDestruct,\dz\structures\military\airfield\Mil_Radar_Mobile3.p3d,\dz\structures\military\airfield\Mil_Radar_Mobile3.p3d,P:\DZ\structures\military\config.cpp
Land_Mil_Radome_Big,HouseNoDestruct,\DZ\structures_sakhal\military\radar\Mil_Radome_Big.p3d,\DZ\structures_sakhal\military\radar\Mil_Radome_Big.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Mil_Radome_Small,HouseNoDestruct,\DZ\structures_sakhal\military\radar\Mil_Radome_Small.p3d,\DZ\structures_sakhal\military\radar\Mil_Radome_Small.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Mil_ReinforcedTank1,HouseNoDestruct,\dz\structures\military\airfield\Mil_ReinforcedTank1.p3d,\dz\structures\military\airfield\Mil_ReinforcedTank1.p3d,P:\DZ\structures\military\config.cpp
Land_Mil_ReinforcedTank1_Sakhal,Land_Mil_ReinforcedTank1,\DZ\structures_sakhal\military\airfield\Mil_ReinforcedTank1_Sakhal.p3d,\DZ\structures_sakhal\military\airfield\Mil_ReinforcedTank1_Sakhal.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Mil_ReinforcedTank2,HouseNoDestruct,\dz\structures\military\airfield\Mil_ReinforcedTank2.p3d,\dz\structures\military\airfield\Mil_ReinforcedTank2.p3d,P:\DZ\structures\military\config.cpp
Land_Mil_ReinforcedTank2_Sakhal,Land_Mil_ReinforcedTank2,\DZ\structures_sakhal\military\airfield\Mil_ReinforcedTank2_Sakhal.p3d,\DZ\structures_sakhal\military\airfield\Mil_ReinforcedTank2_Sakhal.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Mil_Tent_Big1_1,HouseNoDestruct,dz\structures\military\improvised\Mil_Tent_Big1_1,dz\structures\military\improvised\Mil_Tent_Big1_1,P:\DZ\structures\military\config.cpp
Land_Mil_Tent_Big1_2,HouseNoDestruct,dz\structures\military\improvised\Mil_Tent_Big1_2,dz\structures\military\improvised\Mil_Tent_Big1_2,P:\DZ\structures\military\config.cpp
Land_Mil_Tent_Big1_3,HouseNoDestruct,dz\structures\military\improvised\Mil_Tent_Big1_3,dz\structures\military\improvised\Mil_Tent_Big1_3,P:\DZ\structures\military\config.cpp
Land_Mil_Tent_Big1_4,HouseNoDestruct,dz\structures\military\improvised\Mil_Tent_Big1_4,dz\structures\military\improvised\Mil_Tent_Big1_4,P:\DZ\structures\military\config.cpp
Land_Mil_Tent_Big1_5,HouseNoDestruct,dz\structures\military\improvised\Mil_Tent_Big1_5,dz\structures\military\improvised\Mil_Tent_Big1_5,P:\DZ\structures\military\config.cpp
Land_Mil_Tent_Big2_1,HouseNoDestruct,dz\structures\military\improvised\Mil_Tent_Big2_1,dz\structures\military\improvised\Mil_Tent_Big2_1,P:\DZ\structures\military\config.cpp
Land_Mil_Tent_Big2_2,HouseNoDestruct,dz\structures\military\improvised\Mil_Tent_Big2_2,dz\structures\military\improvised\Mil_Tent_Big2_2,P:\DZ\structures\military\config.cpp
Land_Mil_Tent_Big2_3,HouseNoDestruct,dz\structures\military\improvised\Mil_Tent_Big2_3,dz\structures\military\improvised\Mil_Tent_Big2_3,P:\DZ\structures\military\config.cpp
Land_Mil_Tent_Big2_4,HouseNoDestruct,dz\structures\military\improvised\Mil_Tent_Big2_4,dz\structures\military\improvised\Mil_Tent_Big2_4,P:\DZ\structures\military\config.cpp
Land_Mil_Tent_Big2_5,HouseNoDestruct,dz\structures\military\improvised\Mil_Tent_Big2_5,dz\structures\military\improvised\Mil_Tent_Big2_5,P:\DZ\structures\military\config.cpp
Land_Mil_Tent_Big3,HouseNoDestruct,dz\structures\military\improvised\Mil_Tent_Big3,dz\structures\military\improvised\Mil_Tent_Big3,P:\DZ\structures\military\config.cpp
Land_Mil_Tent_Big4,HouseNoDestruct,dz\structures\military\improvised\Mil_Tent_Big4,dz\structures\military\improvised\Mil_Tent_Big4,P:\DZ\structures\military\config.cpp
Land_Mil_Tower_Small,HouseNoDestruct,\dz\structures\military\houses\mil_tower_small.p3d,\dz\structures\military\houses\mil_tower_small.p3d,P:\DZ\structures\military\config.cpp
Land_Mine_Building,HouseNoDestruct,\dz\structures\industrial\mines\mine_building.p3d,\dz\structures\industrial\mines\mine_building.p3d,P:\DZ\structures\industrial\config.cpp
Land_Misc_Calvary1,HouseNoDestruct,\DZ\structures_bliss\Specific\Cultural\Misc_Calvary1.p3d,\DZ\structures_bliss\Specific\Cultural\Misc_Calvary1.p3d,P:\DZ\structures_bliss\specific\config.cpp
Land_misc_chickenCoop,HouseNoDestruct,\DZ\structures\Residential\Misc\misc_chickenCoop.p3d,\DZ\structures\Residential\Misc\misc_chickenCoop.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_DeerStand1,HouseNoDestruct,\DZ\structures\Residential\Misc\Misc_DeerStand1.p3d,\DZ\structures\Residential\Misc\Misc_DeerStand1.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_DeerStand2,HouseNoDestruct,\DZ\structures\Residential\Misc\Misc_DeerStand2.p3d,\DZ\structures\Residential\Misc\Misc_DeerStand2.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_DogHouse,HouseNoDestruct,\DZ\structures\Residential\Misc\Misc_DogHouse.p3d,\DZ\structures\Residential\Misc\Misc_DogHouse.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_FeedShack,HouseNoDestruct,\DZ\structures\Residential\Misc\Misc_FeedShack.p3d,\DZ\structures\Residential\Misc\Misc_FeedShack.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_FireBarrel_Blue,HouseNoDestruct,\DZ\structures_sakhal\residential\misc\Misc_FireBarrel_Blue.p3d,\DZ\structures_sakhal\residential\misc\Misc_FireBarrel_Blue.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Misc_FireBarrel_Green,HouseNoDestruct,\DZ\structures_sakhal\residential\misc\Misc_FireBarrel_Green.p3d,\DZ\structures_sakhal\residential\misc\Misc_FireBarrel_Green.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Misc_FireBarrel_Red,HouseNoDestruct,\DZ\structures_sakhal\residential\misc\Misc_FireBarrel_Red.p3d,\DZ\structures_sakhal\residential\misc\Misc_FireBarrel_Red.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Misc_FireBarrel_Yellow,HouseNoDestruct,\DZ\structures_sakhal\residential\misc\Misc_FireBarrel_Yellow.p3d,\DZ\structures_sakhal\residential\misc\Misc_FireBarrel_Yellow.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Misc_Greenhouse,HouseNoDestruct,\DZ\structures\Residential\Misc\Misc_Greenhouse.p3d,\DZ\structures\Residential\Misc\Misc_Greenhouse.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_Pallet_Spawn,HouseNoDestruct,\DZ\structures_sakhal\industrial\misc\Misc_Pallet_Spawn.p3d,\DZ\structures_sakhal\industrial\misc\Misc_Pallet_Spawn.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Misc_Polytunnel,HouseNoDestruct,\DZ\structures\Residential\Misc\Misc_Polytunnel.p3d,\DZ\structures\Residential\Misc\Misc_Polytunnel.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_Scaffolding,HouseNoDestruct,\dz\structures\industrial\misc\misc_scaffolding.p3d,\dz\structures\industrial\misc\misc_scaffolding.p3d,P:\DZ\structures\industrial\config.cpp
Land_Misc_Table_Large_Spawn,HouseNoDestruct,\DZ\structures_bliss\Residential\Misc\Misc_Table_Large_Spawn.p3d,\DZ\structures_bliss\Residential\Misc\Misc_Table_Large_Spawn.p3d,P:\DZ\structures_bliss\residential\config.cpp
Land_Misc_Table_Market_Spawn,HouseNoDestruct,\DZ\structures_bliss\Residential\Misc\Misc_Table_Market_Spawn.p3d,\DZ\structures_bliss\Residential\Misc\Misc_Table_Market_Spawn.p3d,P:\DZ\structures_bliss\residential\config.cpp
Land_Misc_Through_Static,HouseNoDestruct,\dz\structures\industrial\misc\misc_through_static.p3d,\dz\structures\industrial\misc\misc_through_static.p3d,P:\DZ\structures\industrial\config.cpp
Land_Misc_Through_Static_Frozen,HouseNoDestruct,\DZ\structures_sakhal\industrial\misc\Misc_Through_Static_Frozen.p3d,\DZ\structures_sakhal\industrial\misc\Misc_Through_Static_Frozen.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Misc_Through_Trailer_Frozen,HouseNoDestruct,\DZ\structures_sakhal\industrial\misc\Misc_Through_Trailer_Frozen.p3d,\DZ\structures_sakhal\industrial\misc\Misc_Through_Trailer_Frozen.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Misc_Toilet_Dry,HouseNoDestruct,\DZ\structures\Residential\Misc\Misc_Toilet_Dry.p3d,\DZ\structures\Residential\Misc\Misc_Toilet_Dry.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_Toilet_Mobile,HouseNoDestruct,\DZ\structures\Residential\Misc\Misc_Toilet_Mobile.p3d,\DZ\structures\Residential\Misc\Misc_Toilet_Mobile.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_TrailRoof_Big,HouseNoDestruct,\DZ\structures\Residential\Misc\Misc_TrailRoof_Big.p3d,\DZ\structures\Residential\Misc\Misc_TrailRoof_Big.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_TrailRoof_Small,HouseNoDestruct,\DZ\structures\Residential\Misc\Misc_TrailRoof_Small.p3d,\DZ\structures\Residential\Misc\Misc_TrailRoof_Small.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_Well_Pump_Blue,HouseNoDestruct,\DZ\structures\Residential\Misc\Misc_Well_Pump_Blue.p3d,\DZ\structures\Residential\Misc\Misc_Well_Pump_Blue.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_Well_Pump_Yellow,HouseNoDestruct,\DZ\structures\Residential\Misc\Misc_Well_Pump_Yellow.p3d,\DZ\structures\Residential\Misc\Misc_Well_Pump_Yellow.p3d,P:\DZ\structures\residential\config.cpp
Land_Misc_WoodenCrate_Spawn,HouseNoDestruct,\DZ\structures_sakhal\industrial\misc\Misc_WoodenCrate_Spawn.p3d,\DZ\structures_sakhal\industrial\misc\Misc_WoodenCrate_Spawn.p3d,P:\DZ\structures_sakhal\config.cpp
Land_MobileLaboratory,HouseNoDestruct,\DZ\structures_sakhal\specific\volcano\MobileLaboratory.p3d,\DZ\structures_sakhal\specific\volcano\MobileLaboratory.p3d,P:\DZ\structures_sakhal\config.cpp
Land_MobileLaboratory_Ruin,HouseNoDestruct,\DZ\structures_sakhal\specific\volcano\MobileLaboratory_Ruin.p3d,\DZ\structures_sakhal\specific\volcano\MobileLaboratory_Ruin.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Model_plane_mig21,HouseNoDestruct,\dz\structures\Specific\Statues\Model_plane_mig21.p3d,\dz\structures\Specific\Statues\Model_plane_mig21.p3d,P:\DZ\structures\specific\config.cpp
Land_Monument_mig21,HouseNoDestruct,\dz\structures\Specific\Statues\Monument_mig21.p3d,\dz\structures\Specific\Statues\Monument_mig21.p3d,P:\DZ\structures\specific\config.cpp
Land_Monument_T34,HouseNoDestruct,\dz\structures\specific\statues\Monument_T34.p3d,\dz\structures\specific\statues\Monument_T34.p3d,P:\DZ\structures\specific\config.cpp
Land_MooringBuoy,HouseNoDestruct,\DZ\structures_sakhal\industrial\harbour\MooringBuoy.p3d,\DZ\structures_sakhal\industrial\harbour\MooringBuoy.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Office1,HouseNoDestruct,\DZ\structures\Residential\Offices\Office1.p3d,\DZ\structures\Residential\Offices\Office1.p3d,P:\DZ\structures\residential\config.cpp
Land_Office2,HouseNoDestruct,\DZ\structures\Residential\Offices\Office2.p3d,\DZ\structures\Residential\Offices\Office2.p3d,P:\DZ\structures\residential\config.cpp
Land_Office2_Ghost1,HouseNoDestruct,\DZ\structures\Residential\Offices\Office2_Ghost1.p3d,\DZ\structures\Residential\Offices\Office2_Ghost1.p3d,P:\DZ\structures\residential\config.cpp
Land_Office2_Ghost2,HouseNoDestruct,\DZ\structures\Residential\Offices\Office2_Ghost2.p3d,\DZ\structures\Residential\Offices\Office2_Ghost2.p3d,P:\DZ\structures\residential\config.cpp
Land_Office_Municipal1,Church,\DZ\structures\Residential\Offices\Office_Municipal1.p3d,\DZ\structures\Residential\Offices\Office_Municipal1.p3d,P:\DZ\structures\residential\config.cpp
Land_Office_Municipal2,HouseNoDestruct,\DZ\structures\Residential\Offices\Office_Municipal2.p3d,\DZ\structures\Residential\Offices\Office_Municipal2.p3d,P:\DZ\structures\residential\config.cpp
Land_OutsideThermometer,HouseNoDestruct,\dz\structures_sakhal\residential\misc\OutsideThermometer.p3d,\dz\structures_sakhal\residential\misc\OutsideThermometer.p3d,P:\DZ\structures_sakhal\config.cpp
Land_OutsideThermometer_1,HouseNoDestruct,\dz\structures_sakhal\residential\misc\OutsideThermometer_1.p3d,\dz\structures_sakhal\residential\misc\OutsideThermometer_1.p3d,P:\DZ\structures_sakhal\config.cpp
Land_OutsideThermometer_2,HouseNoDestruct,\dz\structures_sakhal\residential\misc\OutsideThermometer_2.p3d,\dz\structures_sakhal\residential\misc\OutsideThermometer_2.p3d,P:\DZ\structures_sakhal\config.cpp
Land_OutsideThermometer_2_wall,Land_OutsideThermometer_2,\dz\structures_sakhal\residential\misc\OutsideThermometer_2_wall.p3d,\dz\structures_sakhal\residential\misc\OutsideThermometer_2_wall.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Pier_Concrete4_Ladders,HouseNoDestruct,\DZ\structures_sakhal\industrial\harbour\Pier_Concrete4_Ladders.p3d,\DZ\structures_sakhal\industrial\harbour\Pier_Concrete4_Ladders.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Pier_Concrete5_Ladder,HouseNoDestruct,\DZ\structures_sakhal\industrial\harbour\Pier_Concrete5_Ladder.p3d,\DZ\structures_sakhal\industrial\harbour\Pier_Concrete5_Ladder.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Pier_Crane2_Base,HouseNoDestruct,\DZ\structures_sakhal\industrial\harbour\Pier_Crane2_Base.p3d,\DZ\structures_sakhal\industrial\harbour\Pier_Crane2_Base.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Pier_Crane2_Top,HouseNoDestruct,\DZ\structures_sakhal\industrial\harbour\Pier_Crane2_Top.p3d,\DZ\structures_sakhal\industrial\harbour\Pier_Crane2_Top.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Pier_Crane_A,HouseNoDestruct,\dz\structures\industrial\harbour\pier_crane_a.p3d,\dz\structures\industrial\harbour\pier_crane_a.p3d,P:\DZ\structures\industrial\config.cpp
Land_Pier_Crane_B,HouseNoDestruct,\dz\structures\industrial\harbour\pier_crane_b.p3d,\dz\structures\industrial\harbour\pier_crane_b.p3d,P:\DZ\structures\industrial\config.cpp
Land_Pier_Crane_Submarine,HouseNoDestruct,\DZ\structures_sakhal\industrial\harbour\Pier_Crane_Submarine.p3d,\DZ\structures_sakhal\industrial\harbour\Pier_Crane_Submarine.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Pier_Floating_50m,HouseNoDestruct,\DZ\structures_sakhal\industrial\harbour\Pier_Floating_50m.p3d,\DZ\structures_sakhal\industrial\harbour\Pier_Floating_50m.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Pier_Floating_Bridge,HouseNoDestruct,\DZ\structures_sakhal\industrial\harbour\Pier_Floating_Bridge.p3d,\DZ\structures_sakhal\industrial\harbour\Pier_Floating_Bridge.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Pier_Wooden3_Ladder,HouseNoDestruct,\DZ\structures_sakhal\industrial\harbour\Pier_Wooden3_Ladder.p3d,\DZ\structures_sakhal\industrial\harbour\Pier_Wooden3_Ladder.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Pipe_Big_BuildL,HouseNoDestruct,\dz\structures\Industrial\Pipes\Pipe_Big_BuildL,\dz\structures\Industrial\Pipes\Pipe_Big_BuildL,P:\DZ\structures\industrial\config.cpp
Land_Pipe_Big_BuildR,HouseNoDestruct,\dz\structures\Industrial\Pipes\Pipe_Big_BuildR,\dz\structures\Industrial\Pipes\Pipe_Big_BuildR,P:\DZ\structures\industrial\config.cpp
Land_Pipe_Big_CornerL,HouseNoDestruct,\dz\structures\Industrial\Pipes\Pipe_Big_CornerL,\dz\structures\Industrial\Pipes\Pipe_Big_CornerL,P:\DZ\structures\industrial\config.cpp
Land_Pipe_Big_CornerR,HouseNoDestruct,\dz\structures\Industrial\Pipes\Pipe_Big_CornerR,\dz\structures\Industrial\Pipes\Pipe_Big_CornerR,P:\DZ\structures\industrial\config.cpp
Land_Pipe_Big_Ground1,HouseNoDestruct,\dz\structures\Industrial\Pipes\Pipe_Big_Ground1,\dz\structures\Industrial\Pipes\Pipe_Big_Ground1,P:\DZ\structures\industrial\config.cpp
Land_Pipe_Big_Ground2,HouseNoDestruct,\dz\structures\Industrial\Pipes\Pipe_Big_Ground2,\dz\structures\Industrial\Pipes\Pipe_Big_Ground2,P:\DZ\structures\industrial\config.cpp
Land_Power_Pole_Conc1_Amp,HouseNoDestruct,\dz\structures\industrial\power\power_pole_conc1_amp.p3d,\dz\structures\industrial\power\power_pole_conc1_amp.p3d,P:\DZ\structures\industrial\config.cpp
Land_Power_Pole_Conc4_Lamp_Amp,HouseNoDestruct,\dz\structures\industrial\power\power_pole_conc4_lamp_amp.p3d,\dz\structures\industrial\power\power_pole_conc4_lamp_amp.p3d,P:\DZ\structures\industrial\config.cpp
Land_Power_Pole_Wood1_Amp,HouseNoDestruct,\dz\structures\industrial\power\power_pole_wood1_amp.p3d,\dz\structures\industrial\power\power_pole_wood1_amp.p3d,P:\DZ\structures\industrial\config.cpp
Land_Power_Pole_Wood1_Lamp_Amp,HouseNoDestruct,\dz\structures\industrial\power\power_pole_wood1_lamp_amp.p3d,\dz\structures\industrial\power\power_pole_wood1_lamp_amp.p3d,P:\DZ\structures\industrial\config.cpp
Land_Power_Station,HouseNoDestruct,\dz\structures\industrial\power\power_station.p3d,\dz\structures\industrial\power\power_station.p3d,P:\DZ\structures\industrial\config.cpp
Land_Power_Transformer_Build,HouseNoDestruct,\dz\structures\industrial\power\power_transformer_build.p3d,\dz\structures\industrial\power\power_transformer_build.p3d,P:\DZ\structures\industrial\config.cpp
Land_Power_VHV_Tower,HouseNoDestruct,\DZ\structures_bliss\Industrial\Power\Power_VHV_Tower.p3d,\DZ\structures_bliss\Industrial\Power\Power_VHV_Tower.p3d,P:\DZ\structures_bliss\industrial\config.cpp
Land_Power_VHV_Tower_Corner,HouseNoDestruct,\DZ\structures_bliss\Industrial\Power\Power_VHV_Tower_Corner.p3d,\DZ\structures_bliss\Industrial\Power\Power_VHV_Tower_Corner.p3d,P:\DZ\structures_bliss\industrial\config.cpp
Land_Prison_Main,HouseNoDestruct,\dz\structures\specific\prison\Prison_Main.p3d,\dz\structures\specific\prison\Prison_Main.p3d,P:\DZ\structures\specific\config.cpp
Land_Prison_Side,HouseNoDestruct,\dz\structures\specific\prison\Prison_Side.p3d,\dz\structures\specific\prison\Prison_Side.p3d,P:\DZ\structures\specific\config.cpp
Land_Prison_Wall_Large,HouseNoDestruct,\dz\structures\specific\prison\Prison_Wall_Large.p3d,\dz\structures\specific\prison\Prison_Wall_Large.p3d,P:\DZ\structures\specific\config.cpp
Land_Quarry_Main,HouseNoDestruct,\dz\structures\industrial\quarry\quarry_main.p3d,\dz\structures\industrial\quarry\quarry_main.p3d,P:\DZ\structures\industrial\config.cpp
Land_Radio_building,HouseNoDestruct,\dz\structures\specific\radio\Radio_building.p3d,\dz\structures\specific\radio\Radio_building.p3d,P:\DZ\structures\specific\config.cpp
Land_Radio_building_East,HouseNoDestruct,\DZ\structures_sakhal\specific\radio\Radio_building_East.p3d,\DZ\structures_sakhal\specific\radio\Radio_building_East.p3d,P:\DZ\structures_sakhal\config.cpp
Land_Radio_PanelBig,HouseNoDestruct,\dz\structures\Specific\Radio\Radio_PanelBig.p3d,\dz\structures\Specific\Radio\Radio_PanelBig.p3d,P:\DZ\structures\specific\config.cpp
Land_Radio_PanelPAS,HouseNoDestruct,\dz\structures\Specific\Radio\Radio_PanelPAS.p3d,\dz\structures\Specific\Radio\Radio_PanelPAS.p3d,P:\DZ\structures\specific\config.cpp
Land_Rail_Station_Big,HouseNoDestruct,\DZ\structures\Rail\Houses\Rail_Station_Big.p3d,\DZ\structures\Rail\Houses\Rail_Station_Big.p3d,P:\DZ\structures\rail\config.cpp
Land_Rail_Station_Small,HouseNoDestruct,\DZ\structures\Rail\Houses\Rail_Station_Small.p3d,\DZ\structures\Rail\Houses\Rail_Station_Small.p3d,P:\DZ\structures\rail\config.cpp
Land_Rail_Warehouse_Small,HouseNoDestruct,\DZ\structures\Rail\Houses\Rail_Warehouse_Small.p3d,\DZ\structures\Rail\Houses\Rail_Warehouse_Small.p3d,P:\DZ\structures\rail\config.cpp
Land_Repair_Center,HouseNoDestruct,\dz\structures\industrial\houses\repair_center.p3d,\dz\structures\industrial\houses\repair_center.p3d,P:\DZ\structures\industrial\config.cpp
Land_Roadblock_Table,HouseNoDestruct,\dz\structures\Military\Improvised\Roadblock_Table.p3d,\dz\structures\Military\Improvised\Roadblock_Table.p3d,P:\DZ\structures\military\config.cpp
Land_Roadblock_WoodenCrate,HouseNoDestruct,\dz\structures\Military\Improvised\Roadblock_WoodenCrate.p3d,\dz\structures\Military\Improvised\Roadblock_WoodenCrate.p3d,P:\DZ\structures\military\config.cpp
Land_Ruin_BusStop_Village2,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_BusStop_Village2.p3d,\DZ\structures_bliss\Ruins\Ruin_BusStop_Village2.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_Camp_House,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_Camp_House.p3d,\DZ\structures_bliss\Ruins\Ruin_Camp_House.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_Chapel2_White,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_Chapel2_White.p3d,\DZ\structures_bliss\Ruins\Ruin_Chapel2_White.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_Chapel2_Yellow,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_Chapel2_Yellow.p3d,\DZ\structures_bliss\Ruins\Ruin_Chapel2_Yellow.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_Chimney,HouseNoDestruct,\DZ\structures\Ruins\Ruin_Chimney.p3d,\DZ\structures\Ruins\Ruin_Chimney.p3d,P:\DZ\structures\ruins\config.cpp
Land_Ruin_Church2,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_Church2.p3d,\DZ\structures_bliss\Ruins\Ruin_Church2.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_Church2_NoIvy,Land_Ruin_Church2,\DZ\structures_bliss\Ruins\Ruin_Church2_NoIvy.p3d,\DZ\structures_bliss\Ruins\Ruin_Church2_NoIvy.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_Highway_Pillar1,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_Highway_Pillar1.p3d,\DZ\structures_bliss\Ruins\Ruin_Highway_Pillar1.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_Highway_Pillar1_Garage,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_Highway_Pillar1_Garage.p3d,\DZ\structures_bliss\Ruins\Ruin_Highway_Pillar1_Garage.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_House_1B01,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_House_1B01.p3d,\DZ\structures_bliss\Ruins\Ruin_House_1B01.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_House_1W01,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_House_1W01.p3d,\DZ\structures_bliss\Ruins\Ruin_House_1W01.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_House_1W02,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_House_1W02.p3d,\DZ\structures_bliss\Ruins\Ruin_House_1W02.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_House_1W03,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_House_1W03.p3d,\DZ\structures_bliss\Ruins\Ruin_House_1W03.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_House_1W04,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_House_1W04.p3d,\DZ\structures_bliss\Ruins\Ruin_House_1W04.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_House_1W05,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_House_1W05.p3d,\DZ\structures_bliss\Ruins\Ruin_House_1W05.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_House_1W06,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_House_1W06.p3d,\DZ\structures_bliss\Ruins\Ruin_House_1W06.p3d,P:\DZ\structures_bliss\ruins\config.cpp
Land_Ruin_House_1W07,HouseNoDestruct,\DZ\structures_bliss\Ruins\Ruin_House_1W07.p3d,\DZ\structures_bliss\Ruins\Ruin_House_1W07.p3d,P:\DZ\structures_bliss\ruins\config.cpp
