,id,objectName,inGameName,path,modelType,linked_p3d_current,expected_linked_p3d_class_candidates,expected_linked_p3d_id_candidates,linked_variant_count,searchTags
,dzobj_sh1p3v6ga7,StaticObj_Decal_Runway_Skidmarks_End2_Light,-,dz/structures/roads/decals,Config,,decal_damage_long1.p3d|decal_manhole3.p3d|decal_concrete_panels.p3d|decal_damage_long2.p3d|decal_damage_small1.p3d|decal_damage_medium2.p3d|decal_crosswalk.p3d|decal_concrete_panels_end1.p3d|decal_damage_long5.p3d|decal_damage_small2.p3d|decal_heli_army.p3d|decal_damage_long3.p3d|decal_manhole2.p3d|decal_damage_medium1.p3d|decal_manhole.p3d|decal_concrete_panels_end2.p3d|decal_damage_long4.p3d,dzobj_0atqy43d8k|dzobj_2apr0872n8|dzobj_3yqhv1iqv5|dzobj_4ak68te7en|dzobj_bdefapyff3|dzobj_c8e2xw8jc8|dzobj_ibg4lm5ya1|dzobj_kd7zc3bdsa|dzobj_l2ltsokn1f|dzobj_m2k3o5k8tw|dzobj_o06s2rwaqz|dzobj_ocy6pcwnxw|dzobj_py8rm0knvb|dzobj_r7rvd0rr4o|dzobj_rvwwj2w8nd|dzobj_y7zrcaoczg|dzobj_zugzn9wff1,1,
,dzobj_801vq0rf66,StaticObj_Decal_Runway_Skidmarks_End_Light,-,dz/structures/roads/decals,Config,,decal_damage_long1.p3d|decal_manhole3.p3d|decal_concrete_panels.p3d|decal_damage_long2.p3d|decal_damage_small1.p3d|decal_damage_medium2.p3d|decal_crosswalk.p3d|decal_concrete_panels_end1.p3d|decal_damage_long5.p3d|decal_damage_small2.p3d|decal_heli_army.p3d|decal_damage_long3.p3d|decal_manhole2.p3d|decal_damage_medium1.p3d|decal_manhole.p3d|decal_concrete_panels_end2.p3d|decal_damage_long4.p3d,dzobj_0atqy43d8k|dzobj_2apr0872n8|dzobj_3yqhv1iqv5|dzobj_4ak68te7en|dzobj_bdefapyff3|dzobj_c8e2xw8jc8|dzobj_ibg4lm5ya1|dzobj_kd7zc3bdsa|dzobj_l2ltsokn1f|dzobj_m2k3o5k8tw|dzobj_o06s2rwaqz|dzobj_ocy6pcwnxw|dzobj_py8rm0knvb|dzobj_r7rvd0rr4o|dzobj_rvwwj2w8nd|dzobj_y7zrcaoczg|dzobj_zugzn9wff1,1,
,dzobj_ekqzzfyl15,StaticObj_Decal_Runway_Skidmarks_Light,-,dz/structures/roads/decals,Config,,decal_damage_long1.p3d|decal_manhole3.p3d|decal_concrete_panels.p3d|decal_damage_long2.p3d|decal_damage_small1.p3d|decal_damage_medium2.p3d|decal_crosswalk.p3d|decal_concrete_panels_end1.p3d|decal_damage_long5.p3d|decal_damage_small2.p3d|decal_heli_army.p3d|decal_damage_long3.p3d|decal_manhole2.p3d|decal_damage_medium1.p3d|decal_manhole.p3d|decal_concrete_panels_end2.p3d|decal_damage_long4.p3d,dzobj_0atqy43d8k|dzobj_2apr0872n8|dzobj_3yqhv1iqv5|dzobj_4ak68te7en|dzobj_bdefapyff3|dzobj_c8e2xw8jc8|dzobj_ibg4lm5ya1|dzobj_kd7zc3bdsa|dzobj_l2ltsokn1f|dzobj_m2k3o5k8tw|dzobj_o06s2rwaqz|dzobj_ocy6pcwnxw|dzobj_py8rm0knvb|dzobj_r7rvd0rr4o|dzobj_rvwwj2w8nd|dzobj_y7zrcaoczg|dzobj_zugzn9wff1,1,"decal, runway, skid, light, airport, aviation, rubber"
,dzobj_f8h1dqlbfk,StaticObj_Decal_RunwayPanel_1,-,dz/structures/roads/decals,Config,,decal_damage_long1.p3d|decal_manhole3.p3d|decal_concrete_panels.p3d|decal_damage_long2.p3d|decal_damage_small1.p3d|decal_damage_medium2.p3d|decal_crosswalk.p3d|decal_concrete_panels_end1.p3d|decal_damage_long5.p3d|decal_damage_small2.p3d|decal_heli_army.p3d|decal_damage_long3.p3d|decal_manhole2.p3d|decal_damage_medium1.p3d|decal_manhole.p3d|decal_concrete_panels_end2.p3d|decal_damage_long4.p3d,dzobj_0atqy43d8k|dzobj_2apr0872n8|dzobj_3yqhv1iqv5|dzobj_4ak68te7en|dzobj_bdefapyff3|dzobj_c8e2xw8jc8|dzobj_ibg4lm5ya1|dzobj_kd7zc3bdsa|dzobj_l2ltsokn1f|dzobj_m2k3o5k8tw|dzobj_o06s2rwaqz|dzobj_ocy6pcwnxw|dzobj_py8rm0knvb|dzobj_r7rvd0rr4o|dzobj_rvwwj2w8nd|dzobj_y7zrcaoczg|dzobj_zugzn9wff1,0,"decal, runway, outline, section"
,dzobj_os535nh2ct,StaticObj_Decal_RunwayPanel_2,-,dz/structures/roads/decals,Config,,decal_damage_long1.p3d|decal_manhole3.p3d|decal_concrete_panels.p3d|decal_damage_long2.p3d|decal_damage_small1.p3d|decal_damage_medium2.p3d|decal_crosswalk.p3d|decal_concrete_panels_end1.p3d|decal_damage_long5.p3d|decal_damage_small2.p3d|decal_heli_army.p3d|decal_damage_long3.p3d|decal_manhole2.p3d|decal_damage_medium1.p3d|decal_manhole.p3d|decal_concrete_panels_end2.p3d|decal_damage_long4.p3d,dzobj_0atqy43d8k|dzobj_2apr0872n8|dzobj_3yqhv1iqv5|dzobj_4ak68te7en|dzobj_bdefapyff3|dzobj_c8e2xw8jc8|dzobj_ibg4lm5ya1|dzobj_kd7zc3bdsa|dzobj_l2ltsokn1f|dzobj_m2k3o5k8tw|dzobj_o06s2rwaqz|dzobj_ocy6pcwnxw|dzobj_py8rm0knvb|dzobj_r7rvd0rr4o|dzobj_rvwwj2w8nd|dzobj_y7zrcaoczg|dzobj_zugzn9wff1,0,"decal, runway, outline, section"
,dzobj_z6c1kxypcs,StaticObj_Decal_RunwayPanel_Damage_1,-,dz/structures/roads/decals,Config,,decal_damage_long1.p3d|decal_manhole3.p3d|decal_concrete_panels.p3d|decal_damage_long2.p3d|decal_damage_small1.p3d|decal_damage_medium2.p3d|decal_crosswalk.p3d|decal_concrete_panels_end1.p3d|decal_damage_long5.p3d|decal_damage_small2.p3d|decal_heli_army.p3d|decal_damage_long3.p3d|decal_manhole2.p3d|decal_damage_medium1.p3d|decal_manhole.p3d|decal_concrete_panels_end2.p3d|decal_damage_long4.p3d,dzobj_0atqy43d8k|dzobj_2apr0872n8|dzobj_3yqhv1iqv5|dzobj_4ak68te7en|dzobj_bdefapyff3|dzobj_c8e2xw8jc8|dzobj_ibg4lm5ya1|dzobj_kd7zc3bdsa|dzobj_l2ltsokn1f|dzobj_m2k3o5k8tw|dzobj_o06s2rwaqz|dzobj_ocy6pcwnxw|dzobj_py8rm0knvb|dzobj_r7rvd0rr4o|dzobj_rvwwj2w8nd|dzobj_y7zrcaoczg|dzobj_zugzn9wff1,0,"decal, runway, damage, crack, broken, concrete"
,dzobj_9urpi52icp,StaticObj_Decal_RunwayPanel_Damage_2,-,dz/structures/roads/decals,Config,,decal_damage_long1.p3d|decal_manhole3.p3d|decal_concrete_panels.p3d|decal_damage_long2.p3d|decal_damage_small1.p3d|decal_damage_medium2.p3d|decal_crosswalk.p3d|decal_concrete_panels_end1.p3d|decal_damage_long5.p3d|decal_damage_small2.p3d|decal_heli_army.p3d|decal_damage_long3.p3d|decal_manhole2.p3d|decal_damage_medium1.p3d|decal_manhole.p3d|decal_concrete_panels_end2.p3d|decal_damage_long4.p3d,dzobj_0atqy43d8k|dzobj_2apr0872n8|dzobj_3yqhv1iqv5|dzobj_4ak68te7en|dzobj_bdefapyff3|dzobj_c8e2xw8jc8|dzobj_ibg4lm5ya1|dzobj_kd7zc3bdsa|dzobj_l2ltsokn1f|dzobj_m2k3o5k8tw|dzobj_o06s2rwaqz|dzobj_ocy6pcwnxw|dzobj_py8rm0knvb|dzobj_r7rvd0rr4o|dzobj_rvwwj2w8nd|dzobj_y7zrcaoczg|dzobj_zugzn9wff1,0,"decal, runway, damage, crack, broken, concrete"
,dzobj_mbcuvqbf1y,StaticObj_Decal_RunwayPanel_Damage_3,-,dz/structures/roads/decals,Config,,decal_damage_long1.p3d|decal_manhole3.p3d|decal_concrete_panels.p3d|decal_damage_long2.p3d|decal_damage_small1.p3d|decal_damage_medium2.p3d|decal_crosswalk.p3d|decal_concrete_panels_end1.p3d|decal_damage_long5.p3d|decal_damage_small2.p3d|decal_heli_army.p3d|decal_damage_long3.p3d|decal_manhole2.p3d|decal_damage_medium1.p3d|decal_manhole.p3d|decal_concrete_panels_end2.p3d|decal_damage_long4.p3d,dzobj_0atqy43d8k|dzobj_2apr0872n8|dzobj_3yqhv1iqv5|dzobj_4ak68te7en|dzobj_bdefapyff3|dzobj_c8e2xw8jc8|dzobj_ibg4lm5ya1|dzobj_kd7zc3bdsa|dzobj_l2ltsokn1f|dzobj_m2k3o5k8tw|dzobj_o06s2rwaqz|dzobj_ocy6pcwnxw|dzobj_py8rm0knvb|dzobj_r7rvd0rr4o|dzobj_rvwwj2w8nd|dzobj_y7zrcaoczg|dzobj_zugzn9wff1,0,"decal, runway, damage, crack, broken, concrete"
,dzobj_v1zkg4fwuy,StaticObj_Decal_RunwayPanel_Line_15m,-,dz/structures/roads/decals,Config,,decal_damage_long1.p3d|decal_manhole3.p3d|decal_concrete_panels.p3d|decal_damage_long2.p3d|decal_damage_small1.p3d|decal_damage_medium2.p3d|decal_crosswalk.p3d|decal_concrete_panels_end1.p3d|decal_damage_long5.p3d|decal_damage_small2.p3d|decal_heli_army.p3d|decal_damage_long3.p3d|decal_manhole2.p3d|decal_damage_medium1.p3d|decal_manhole.p3d|decal_concrete_panels_end2.p3d|decal_damage_long4.p3d,dzobj_0atqy43d8k|dzobj_2apr0872n8|dzobj_3yqhv1iqv5|dzobj_4ak68te7en|dzobj_bdefapyff3|dzobj_c8e2xw8jc8|dzobj_ibg4lm5ya1|dzobj_kd7zc3bdsa|dzobj_l2ltsokn1f|dzobj_m2k3o5k8tw|dzobj_o06s2rwaqz|dzobj_ocy6pcwnxw|dzobj_py8rm0knvb|dzobj_r7rvd0rr4o|dzobj_rvwwj2w8nd|dzobj_y7zrcaoczg|dzobj_zugzn9wff1,0,"decal, runway, line, 15m, strip, airport"
,dzobj_0qcwrveiab,StaticObj_Decal_RunwayPanel_Line_2m,-,dz/structures/roads/decals,Config,,decal_damage_long1.p3d|decal_manhole3.p3d|decal_concrete_panels.p3d|decal_damage_long2.p3d|decal_damage_small1.p3d|decal_damage_medium2.p3d|decal_crosswalk.p3d|decal_concrete_panels_end1.p3d|decal_damage_long5.p3d|decal_damage_small2.p3d|decal_heli_army.p3d|decal_damage_long3.p3d|decal_manhole2.p3d|decal_damage_medium1.p3d|decal_manhole.p3d|decal_concrete_panels_end2.p3d|decal_damage_long4.p3d,dzobj_0atqy43d8k|dzobj_2apr0872n8|dzobj_3yqhv1iqv5|dzobj_4ak68te7en|dzobj_bdefapyff3|dzobj_c8e2xw8jc8|dzobj_ibg4lm5ya1|dzobj_kd7zc3bdsa|dzobj_l2ltsokn1f|dzobj_m2k3o5k8tw|dzobj_o06s2rwaqz|dzobj_ocy6pcwnxw|dzobj_py8rm0knvb|dzobj_r7rvd0rr4o|dzobj_rvwwj2w8nd|dzobj_y7zrcaoczg|dzobj_zugzn9wff1,0,"decal, runway, line, 2m, strip, airport"
,dzobj_7muay5dh5m,StaticObj_Decal_RunwayPanel_Line_8m,-,dz/structures/roads/decals,Config,,decal_damage_long1.p3d|decal_manhole3.p3d|decal_concrete_panels.p3d|decal_damage_long2.p3d|decal_damage_small1.p3d|decal_damage_medium2.p3d|decal_crosswalk.p3d|decal_concrete_panels_end1.p3d|decal_damage_long5.p3d|decal_damage_small2.p3d|decal_heli_army.p3d|decal_damage_long3.p3d|decal_manhole2.p3d|decal_damage_medium1.p3d|decal_manhole.p3d|decal_concrete_panels_end2.p3d|decal_damage_long4.p3d,dzobj_0atqy43d8k|dzobj_2apr0872n8|dzobj_3yqhv1iqv5|dzobj_4ak68te7en|dzobj_bdefapyff3|dzobj_c8e2xw8jc8|dzobj_ibg4lm5ya1|dzobj_kd7zc3bdsa|dzobj_l2ltsokn1f|dzobj_m2k3o5k8tw|dzobj_o06s2rwaqz|dzobj_ocy6pcwnxw|dzobj_py8rm0knvb|dzobj_r7rvd0rr4o|dzobj_rvwwj2w8nd|dzobj_y7zrcaoczg|dzobj_zugzn9wff1,0,"decal, runway, line, 8m, strip, airport"
,dzobj_tltn54mlst,Land_Bilboard_Livonia_1,-,dz/structures/signs/billboards,Config,,bilboard_escape.p3d|bilboard_cigara_chernomorky.p3d|bilboard_everon.p3d|bilboard_notacola.p3d|bilboard_beach.p3d|bilboard_nogova.p3d|bilboard_seci_stroje.p3d|bilboard_bienvenudo.p3d|bilboard_vstup_do_cdf.p3d|bilboard_hey_buddy.p3d|bilboard_alkohol.p3d|bilboard_toaletak_armasan.p3d|bilboard_hlinik.p3d|bilboard_skiresort.p3d|bilboard_vodka.p3d|10thanniversarybanner_big.p3d|bilboard_volte_cernaruske_hnuti.p3d|bilboard_zlute_zgrynda.p3d|10thanniversarybanner_small.p3d|bilboard_riviera.p3d|bilboard_strana_noveho_radu.p3d|bilboard_pizza_presto.p3d|bilboard_cibulka.p3d|bilboard_likery_bardak.p3d|bilboard_smadny_maskrnik.p3d,dzobj_0upnylk38r|dzobj_0ykvcs0il5|dzobj_7fb64i02vj|dzobj_7iqn7lidr4|dzobj_7qfbc3ucou|dzobj_86mhx8nvek|dzobj_8bk0d71iqp|dzobj_dwmk6x1ihs|dzobj_dy5osh45lq|dzobj_egkm3hjra1|dzobj_eypfm8ie4d|dzobj_fhxofixs7r|dzobj_fxfoomkhyw|dzobj_gfuwhwwqum|dzobj_gwjoldu7jf|dzobj_il9hu8str9|dzobj_imdde0vha4|dzobj_k0kwcqgfiu|dzobj_khr3sjkan8|dzobj_l6nc4v9hzu|dzobj_ljefjo4daz|dzobj_p6ulj2yhl9|dzobj_rl54ct4t4b|dzobj_uat6nqkq5d|dzobj_unh3qgz14v,0,"billboard, advert, Livonia, map, region, tourist, travel, hell, spray_paint, graffiti, fields"
,dzobj_s0o44aesjh,Land_Bilboard_Livonia_2,-,dz/structures/signs/billboards,Config,,bilboard_escape.p3d|bilboard_cigara_chernomorky.p3d|bilboard_everon.p3d|bilboard_notacola.p3d|bilboard_beach.p3d|bilboard_nogova.p3d|bilboard_seci_stroje.p3d|bilboard_bienvenudo.p3d|bilboard_vstup_do_cdf.p3d|bilboard_hey_buddy.p3d|bilboard_alkohol.p3d|bilboard_toaletak_armasan.p3d|bilboard_hlinik.p3d|bilboard_skiresort.p3d|bilboard_vodka.p3d|10thanniversarybanner_big.p3d|bilboard_volte_cernaruske_hnuti.p3d|bilboard_zlute_zgrynda.p3d|10thanniversarybanner_small.p3d|bilboard_riviera.p3d|bilboard_strana_noveho_radu.p3d|bilboard_pizza_presto.p3d|bilboard_cibulka.p3d|bilboard_likery_bardak.p3d|bilboard_smadny_maskrnik.p3d,dzobj_0upnylk38r|dzobj_0ykvcs0il5|dzobj_7fb64i02vj|dzobj_7iqn7lidr4|dzobj_7qfbc3ucou|dzobj_86mhx8nvek|dzobj_8bk0d71iqp|dzobj_dwmk6x1ihs|dzobj_dy5osh45lq|dzobj_egkm3hjra1|dzobj_eypfm8ie4d|dzobj_fhxofixs7r|dzobj_fxfoomkhyw|dzobj_gfuwhwwqum|dzobj_gwjoldu7jf|dzobj_il9hu8str9|dzobj_imdde0vha4|dzobj_k0kwcqgfiu|dzobj_khr3sjkan8|dzobj_l6nc4v9hzu|dzobj_ljefjo4daz|dzobj_p6ulj2yhl9|dzobj_rl54ct4t4b|dzobj_uat6nqkq5d|dzobj_unh3qgz14v,0,"billboard, advert, Livonia, landscape, region, tourist, travel, prison, stay_away"
,dzobj_aknr3w9loi,StaticObj_Hotel_Damaged_Decal1,-,dz/structures/specific/hotel,Config,,hotel_damaged_airplane_wing.p3d|hotel_damaged.p3d|hotel_damaged_airplane_back.p3d|hotel_damaged_rubble.p3d|hotel.p3d|hotel_damaged_decal2.p3d,dzobj_0ftuc21j1g|dzobj_b5wunfgnwn|dzobj_fqwusvzcqd|dzobj_lv7jqx9p6s|dzobj_vtj0j4nssf|dzobj_y2i9ksf8pk,0,decal
,dzobj_jnb0djn3mx,Land_Wall_Gate_Camp,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"gate, summer camp, sign, metal, brown, large, double"
,dzobj_01oqrm8k40,Land_Wall_Gate_Fen2_L,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"metal, gate, wire, barbed wire, brown, single, industrial"
,dzobj_51x0t8qhfh,Land_Wall_Gate_Fen2_R,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"metal, gate, wire, barbed wire, brown, medium, single, industrial"
,dzobj_ijs5iw3ap0,Land_Wall_Gate_FenG,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"green, metal, gate, single, small, industrial"
,dzobj_rc7mhvli9r,Land_Wall_Gate_FenG_Big_L,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"metal, gate, green, medium, single, industrial"
,dzobj_q5oqp1v6jm,Land_Wall_Gate_FenG_Big_R,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"metal, gate, green, medium, single, industrial"
,dzobj_ujqarvxt61,Land_Wall_Gate_FenG_Open,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"green, metal, gate, double, large, industrial"
,dzobj_7yj4nvm8qz,Land_Wall_Gate_FenR,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"red, metal, stone, brick, gate, small, industrial"
,dzobj_lnfajgi38g,Land_Wall_Gate_FenR_Big_L,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"metal, gate, red, medium, single, industrial"
,dzobj_emkbm0cx2l,Land_Wall_Gate_FenR_Big_R,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"red, metal, gate, single, medium, industrial"
,dzobj_xj6fjpt0yz,Land_Wall_Gate_Ind1_L,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"green, red, metal, gate, large, industrial"
,dzobj_hwe26lxucy,Land_Wall_Gate_Ind1_R,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"green, red, metal, gate, large, industrial"
,dzobj_gqu6vdpjek,Land_Wall_Gate_Ind2A_L,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"blue, metal, gate, large, industrial"
,dzobj_6ghsmeod70,Land_Wall_Gate_Ind2A_R,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"blue, metal, gate, large, industrial"
,dzobj_j4gy0q7fco,Land_Wall_Gate_Ind2B_L,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"red, metal, gate, single, large, broken, industrial"
,dzobj_o0c0txiwxj,Land_Wall_Gate_Ind2B_R,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"red, metal, gate, single, large, industrial"
,dzobj_1v3v8o8lbt,Land_Wall_Gate_Ind2Rail_L,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"blue, metal, gate, large, train, crossing, industrial"
,dzobj_fn4856oc11,Land_Wall_Gate_Ind2Rail_R,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"blue, metal, gate, large, train, crossing, industrial"
,dzobj_i7lg1zulk4,Land_Wall_Gate_Village,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"metal, gate, blue, single, small, residential"
,dzobj_n0bmacpzne,Land_Wall_Gate_Wood1,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"wooden, gate, broken, single, small, residential"
,dzobj_ukfiaf8ve0,Land_Wall_Gate_Wood2,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"wooden, gate, single, small, residential"
,dzobj_i4d8qb140p,Land_Wall_Gate_Wood3,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"wooden, gate, single, small, residential"
,dzobj_g5mdmdvhuq,Land_Wall_Gate_Wood4,,dz/structures/walls,Config,,wall_gate_feng_big.p3d|wall_gate_fenr_big.p3d|wall_gate_fenr_big_open.p3d|wall_gate_feng_big_open.p3d,dzobj_6af7kt6hi8|dzobj_6qdmuh49lf|dzobj_f9o1rbbuq4|dzobj_wm9tz6il2a,0,"wooden, gate, single, small, brick, stone, residential"
,dzobj_54faxyr1lb,Land_Boat_Small9_DE,-,dz/structures/wrecks/ships,Config,,boat_small2.p3d|ship_big_fronta.p3d|ship_big_backb.p3d|ship_big_castle.p3d|ship_big_backa.p3d|ship_medium_back.p3d|ship_big_lifeboat.p3d|ship_medium_front.p3d|ship_big_frontb.p3d|boat_small1.p3d|boat_small3.p3d,dzobj_3a1gy4lkze|dzobj_40uoisglbm|dzobj_5szqrq5p9s|dzobj_f6tq6zssx2|dzobj_g5g9wybuzc|dzobj_ktt824gepg|dzobj_lmqgobla6w|dzobj_m3fvinnuh9|dzobj_v5yg1up0pq|dzobj_xexsalpcx5|dzobj_zsjy8sdrhv,0,"ships, transport, vehicle, watercraft, wrecks, dynamic event"
,dzobj_ued03ww04e,Land_Train_Wagon_Box_DE,-,dz/structures/wrecks/trains,Config,,train_742_red.p3d|train_wagon_flat.p3d|train_wagon_tanker.p3d|train_742_blue.p3d,dzobj_docywb3gjq|dzobj_ix72s56nlt|dzobj_oe2lmqp9qe|dzobj_z51if71bgv,1,"trains, wrecks, carriage"
,dzobj_11dib5nkyk,Land_Train_Wagon_Box_Mil_DE,-,dz/structures/wrecks/trains,Config,,train_742_red.p3d|train_wagon_flat.p3d|train_wagon_tanker.p3d|train_742_blue.p3d,dzobj_docywb3gjq|dzobj_ix72s56nlt|dzobj_oe2lmqp9qe|dzobj_z51if71bgv,0,"trains, wrecks, carriage"
,dzobj_asykewrtuz,StaticObj_Train_Wagon_Flat_Industrial_Barrels_DE,-,dz/structures/wrecks/trains,Config,,train_742_red.p3d|train_wagon_flat.p3d|train_wagon_tanker.p3d|train_742_blue.p3d,dzobj_docywb3gjq|dzobj_ix72s56nlt|dzobj_oe2lmqp9qe|dzobj_z51if71bgv,0,"trains, wrecks, carriage"
,dzobj_qei7dd6fq3,StaticObj_Train_Wagon_Flat_Industrial_Planks_DE,-,dz/structures/wrecks/trains,Config,,train_742_red.p3d|train_wagon_flat.p3d|train_wagon_tanker.p3d|train_742_blue.p3d,dzobj_docywb3gjq|dzobj_ix72s56nlt|dzobj_oe2lmqp9qe|dzobj_z51if71bgv,0,"trains, wrecks, carriage"
,dzobj_wjsuyxlv75,StaticObj_Wreck_Train_742_Blue_DE,-,dz/structures/wrecks/trains,Config,,train_742_red.p3d|train_wagon_flat.p3d|train_wagon_tanker.p3d|train_742_blue.p3d,dzobj_docywb3gjq|dzobj_ix72s56nlt|dzobj_oe2lmqp9qe|dzobj_z51if71bgv,3,"trains, wrecks, carriage"
